,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,engine,Seats,age
2982,Hyundai i20 Sportz,664000,35986,Petrol,Manual,1st Owner,1461 cc,5 Seats,4
2983,Mercedes-Benz CLA 200,1929000,51609,Diesel,Automatic,1st Owner,1248 cc,4 Seats,7
2984,Maruti Wagon R,413000,42561,Petrol,Manual,1st Owner,1248 cc,5 Seats,4
2985,Hyundai Santro Xing,105000,30778,Petrol,Manual,1st Owner,1086 cc,5 Seats,15
2986,Maruti Wagon R,335000,30819,Cng,Manual,2nd Owner,796 cc,5 Seats,6
2987,Nissan Micra Diesel,139000,77464,Diesel,Manual,3rd Owner,1498 cc,5 Seats,11
2988,Maruti Vitara Brezza,542000,55142,Diesel,Manual,1st Owner,1493 cc,5 Seats,7
2989,Maruti Swift Dzire,479000,64705,Diesel,Manual,2nd Owner,1399 cc,5 Seats,8
2990,Hyundai i10 Era,130000,83013,Petrol,Manual,4th Owner,1248 cc,5 Seats,14
2991,Maruti 800 AC,0,91817,Petrol,Manual,4th Owner,1968 cc,5 Seats,14
2992,Honda Amaze VX,561000,76012,Diesel,Manual,1st Owner,814 cc,7 Seats,5
2993,Hyundai Creta SX,1773000,20507,Diesel,Automatic,1st Owner,1199 cc,7 Seats,3
2994,Ford Fiesta 1.4,174000,118039,Diesel,Manual,1st Owner,1497 cc,5 Seats,14
2996,Audi A6 2.0,1689999,71000,Diesel,Automatic,1st Owner,1493 cc,5 Seats,9
2997,Hyundai EON D,216000,51841,Petrol,Manual,2nd Owner,998 cc,5 Seats,7
2998,Tata Tigor 1.2,413999,10098,Petrol,Manual,1st Owner,1399 cc,5 Seats,6
2999,Honda City i,497000,58328,Petrol,Manual,3rd Owner,1461 cc,5 Seats,8
3000,Maruti Eeco 7,309000,94128,Petrol,Manual,1st Owner,998 cc,5 Seats,5
3001,Mahindra TUV 300,516000,38979,Diesel,Manual,1st Owner,796 cc,5 Seats,6
3002,Maruti Wagon R,324000,54087,Cng,Manual,1st Owner,1197 cc,5 Seats,7
3003,Ford Figo Diesel,126000,71969,Diesel,Manual,1st Owner,1591 cc,5 Seats,13
3004,Renault Duster 85PS,602000,59609,Diesel,Manual,1st Owner,1197 cc,7 Seats,5
3005,Maruti Wagon R,287000,94509,Cng,Manual,1st Owner,1197 cc,5 Seats,8
3006,Maruti Alto 800,264000,52254,Petrol,Manual,1st Owner,1198 cc,5 Seats,5
3007,Maruti Swift Dzire,600000,25000,Petrol,Manual,1st Owner,2694 cc,5 Seats,5
3008,Hyundai Verna VTVT,907000,36006,Petrol,Manual,1st Owner,2967 cc,7 Seats,5
3009,Hyundai i20 Asta,191000,94264,Petrol,Manual,2nd Owner,1086 cc,5 Seats,13
3010,Maruti Baleno Sigma,608000,14976,Petrol,Manual,1st Owner,1197 cc,5 Seats,1
3012,Toyota Fortuner 2.7,3100000,44000,Petrol,Automatic,2nd Owner,1198 cc,7 Seats,4
3013,Audi Q5 3.0,994999,68000,Diesel,Automatic,3rd Owner,1950 cc,5 Seats,12
3014,Hyundai i10 Magna,225000,38000,Petrol,Manual,1st Owner,1248 cc,5 Seats,12
3015,Maruti Swift Dzire,650000,65000,Petrol,Manual,1st Owner,2179 cc,5 Seats,4
3016,Audi Q7 45,1875000,43000,Diesel,Automatic,2nd Owner,1950 cc,5 Seats,9
3017,Honda Amaze E,360000,80000,Petrol,Manual,3rd Owner,1950 cc,5 Seats,8
3018,Mercedes-Benz C-Class Progressive,3900000,24000,Diesel,Automatic,2nd Owner,1991 cc,5 Seats,3
3019,Maruti Baleno 1.3,600000,90000,Diesel,Manual,1st Owner,1997 cc,5 Seats,5
3020,Mahindra Scorpio S8,1000000,25000,Diesel,Manual,1st Owner,4367 cc,7 Seats,7
3021,Mercedes-Benz GLC 220d,5650000,24000,Diesel,Automatic,1st Owner,1998 cc,5 Seats,3
3022,Mercedes-Benz GLE 300d,8900000,13000,Diesel,Automatic,1st Owner,1968 cc,7 Seats,2
3023,Mercedes-Benz GLC 200,6100000,15000,Petrol,Automatic,1st Owner,1997 cc,7 Seats,2
3024,Jaguar F-Pace 2.0,7400000,9900,Diesel,Automatic,1st Owner,1582 cc,5 Seats,2
3025,Land Rover Range,0,68500,Diesel,Automatic,1st Owner,2998 cc,7 Seats,4
3026,BMW X4 xDrive30i,7450000,7600,Petrol,Automatic,1st Owner,2179 cc,5 Seats,1
3027,Audi Q3 35,1475000,76000,Diesel,Automatic,2nd Owner,1462 cc,5 Seats,7
3028,Mahindra XUV500 1.99,450000,120000,Diesel,Manual,2nd Owner,2523 cc,7 Seats,10
3029,Hyundai Verna 1.6,520000,120000,Diesel,Manual,2nd Owner,2487 cc,5 Seats,7
3030,BMW X7 xDrive,0,39000,Petrol,Automatic,1st Owner,2497 cc,5 Seats,4
3031,Mahindra Scorpio S10,1125000,88000,Diesel,Manual,1st Owner,2982 cc,7 Seats,6
3032,Maruti Grand Vitara,1450000,2000,Petrol,Automatic,1st Owner,998 cc,7 Seats,1
3033,Mahindra Bolero ZLX,750000,40000,Diesel,Manual,1st Owner,2143 cc,5 Seats,4
3034,Toyota Camry Hybrid,4090000,20000,Petrol,Automatic,1st Owner,2179 cc,5 Seats,4
3035,Mercedes-Benz E-Class E240,500000,110000,Petrol,Automatic,2nd Owner,1248 cc,5 Seats,17
3036,Toyota Fortuner 3.0,850000,80000,Diesel,Manual,3rd Owner,1598 cc,5 Seats,12
3037,Maruti Zen Estilo,100000,110000,Petrol,Manual,3rd Owner,1950 cc,8 Seats,15
3038,Mercedes-Benz GLE 250d,4400000,49000,Diesel,Automatic,1st Owner,1498 cc,5 Seats,6
3039,Tata Safari Storme,320000,145000,Diesel,Manual,3rd Owner,998 cc,5 Seats,10
3040,Maruti Ertiga ZDI,500000,40000,Diesel,Manual,2nd Owner,2494 cc,5 Seats,11
3041,Volkswagen Vento IPL,125000,100000,Petrol,Manual,3rd Owner,1995 cc,5 Seats,13
3042,Mercedes-Benz E-Class Expression,5800000,17000,Diesel,Automatic,1st Owner,1396 cc,5 Seats,3
3043,Volkswagen Polo Exquisite,490000,100000,Diesel,Manual,1st Owner,1198 cc,7 Seats,8
3044,Maruti Wagon R,190000,100000,Petrol,Manual,1st Owner,1396 cc,4 Seats,12
3045,Toyota Innova 2.5,600000,120000,Diesel,Manual,2nd Owner,1950 cc,8 Seats,10
3046,BMW X3 xDrive,6000000,19000,Diesel,Automatic,1st Owner,1997 cc,5 Seats,2
3047,Hyundai i20 Sportz,650000,60000,Diesel,Manual,2nd Owner,796 cc,7 Seats,6
3048,Nissan Micra Active,400000,25000,Petrol,Manual,1st Owner,2179 cc,5 Seats,5
3049,Tata Indigo LX,185000,100000,Diesel,Manual,1st Owner,1997 cc,5 Seats,11
3050,Mercedes-Benz GLC Coupe,7150000,24900,Diesel,Automatic,1st Owner,1498 cc,7 Seats,2
3051,Mahindra Scorpio 1.99,1000000,70000,Diesel,Manual,1st Owner,1120 cc,5 Seats,8
3052,Maruti 800 AC,200000,70000,Petrol,Manual,1st Owner,999 cc,7 Seats,9
3053,Mahindra Scorpio 2.6,350000,100000,Diesel,Manual,2nd Owner,4461 cc,8 Seats,17
3054,Jaguar XF 2.0,4700000,7500,Petrol,Automatic,1st Owner,1248 cc,5 Seats,3
3055,Mahindra Bolero B4,580000,110000,Diesel,Manual,1st Owner,2982 cc,5 Seats,3
3056,Hyundai Xcent 1.1,310000,70000,Diesel,Manual,2nd Owner,2494 cc,5 Seats,8
3057,Renault Kiger RXZ,750000,35000,Petrol,Manual,1st Owner,1993 cc,5 Seats,2
3058,Toyota Land Cruiser,0,56000,Diesel,Automatic,1st Owner,1199 cc,5 Seats,5
3059,Maruti Swift Dzire,535000,74200,Diesel,Manual,2nd Owner,1047 cc,5 Seats,6
3060,Toyota Fortuner 4x2,1500000,120000,Diesel,Manual,2nd Owner,998 cc,5 Seats,7
3062,Mercedes-Benz C-Class C,6200000,4000,Diesel,Automatic,1st Owner,796 cc,7 Seats,1
3063,Volkswagen Polo Diesel,130000,90000,Diesel,Manual,3rd Owner,1086 cc,5 Seats,13
3064,Tata Tiago 1.05,300000,120000,Diesel,Manual,1st Owner,1461 cc,5 Seats,6
3065,Maruti A-Star Lxi,114999,70000,Petrol,Manual,2nd Owner,2925 cc,5 Seats,14
3066,Mercedes-Benz S-Class S,4775000,13000,Diesel,Automatic,2nd Owner,814 cc,5 Seats,9
3069,Renault Lodgy 110PS,450000,110000,Diesel,Manual,3rd Owner,2993 cc,5 Seats,8
3070,Mercedes-Benz GLS 400d,0,15000,Diesel,Automatic,2nd Owner,1197 cc,7 Seats,3
3071,Hyundai EON D,175000,30000,Petrol,Manual,1st Owner,796 cc,5 Seats,10
3072,Hyundai Verna 1.6,700000,115000,Diesel,Manual,2nd Owner,796 cc,7 Seats,8
3073,Maruti Baleno Delta,650000,15000,Petrol,Manual,1st Owner,2967 cc,5 Seats,4
3074,BMW X5 xDrive,8300000,25000,Diesel,Automatic,1st Owner,1396 cc,7 Seats,3
3075,Maruti Ignis 1.2,500000,80000,Petrol,Automatic,1st Owner,2523 cc,5 Seats,5
3077,Maruti Alto 800,300000,70000,Petrol,Manual,1st Owner,2987 cc,5 Seats,4
3078,Audi Q7 45,4600000,65000,Diesel,Automatic,1st Owner,999 cc,7 Seats,6
3079,Hyundai i20 1.4,200000,110000,Diesel,Manual,4th Owner,2523 cc,5 Seats,14
3080,Mahindra Bolero SLX,340000,100000,Diesel,Manual,4th Owner,1995 cc,5 Seats,11
3081,Maruti Baleno 1.2,550000,60000,Petrol,Manual,1st Owner,2494 cc,5 Seats,5
3082,Mercedes-Benz GLS 350d,5950000,45000,Diesel,Automatic,2nd Owner,1248 cc,5 Seats,7
3083,Volkswagen Taigun 1.0,1300000,5000,Petrol,Manual,1st Owner,1396 cc,5 Seats,1
3084,Mahindra Bolero ZLX,470000,60000,Diesel,Manual,2nd Owner,2143 cc,5 Seats,9
3085,BMW 5 Series,4800000,29000,Diesel,Automatic,1st Owner,1396 cc,5 Seats,4
3087,Maruti Swift VDI,350000,110000,Diesel,Manual,1st Owner,1498 cc,5 Seats,8
3088,Tata Indigo LX,240000,120000,Diesel,Manual,1st Owner,1950 cc,5 Seats,8
3089,Mercedes-Benz GLE 250d,5600000,45000,Diesel,Automatic,1st Owner,2925 cc,5 Seats,4
3090,Tata Indigo GLX,114999,25000,Petrol,Manual,1st Owner,1968 cc,7 Seats,14
3091,Tata Indigo LX,0,80000,Diesel,Manual,2nd Owner,998 cc,5 Seats,17
3092,Ford Ecosport 1.5,650000,70000,Diesel,Manual,1st Owner,2995 cc,5 Seats,5
3093,Mercedes-Benz C-Class Progressive,4790000,11000,Petrol,Automatic,1st Owner,1493 cc,5 Seats,2
3094,Mercedes-Benz GLE 400d,0,12000,Diesel,Automatic,1st Owner,1598 cc,5 Seats,2
3095,Audi A6 35,2490000,40000,Diesel,Automatic,2nd Owner,998 cc,5 Seats,7
3096,Maruti Wagon R,521000,7500,Petrol,Manual,1st Owner,1998 cc,5 Seats,2
3097,Land Rover Range,0,40000,Petrol,Automatic,1st Owner,796 cc,5 Seats,4
3098,Mahindra Bolero Power,600000,50000,Diesel,Manual,1st Owner,1248 cc,7 Seats,5
3099,Volkswagen Vento Diesel,250000,80000,Diesel,Manual,2nd Owner,1998 cc,5 Seats,13
3100,Maruti Celerio VXI,346000,40000,Petrol,Manual,1st Owner,1995 cc,5 Seats,6
3101,Volvo XC60 B5,6850000,7000,Petrol,Automatic,1st Owner,1493 cc,5 Seats,1
3102,Maruti 800 DUO,0,60000,Lpg,Manual,3rd Owner,1799 cc,7 Seats,13
3103,Maruti Swift VDI,600000,40000,Diesel,Manual,1st Owner,1197 cc,5 Seats,5
3104,Chevrolet Cruze LTZ,200000,70000,Diesel,Manual,4th Owner,2987 cc,5 Seats,10
3105,BMW X1 sDrive,3000000,25000,Diesel,Automatic,1st Owner,999 cc,5 Seats,4
3106,Mahindra TUV 300,490000,120000,Diesel,Manual,1st Owner,1298 cc,5 Seats,7
3107,Honda Civic 1.8,200000,100000,Petrol,Manual,3rd Owner,1198 cc,5 Seats,12
3108,Hyundai i10 Magna,150000,50000,Petrol,Manual,1st Owner,2143 cc,5 Seats,14
3109,Maserati Ghibli Diesel,6600000,12000,Diesel,Automatic,1st Owner,796 cc,5 Seats,7
3110,Renault Triber RXZ,550000,25000,Petrol,Manual,1st Owner,1248 cc,5 Seats,4
3111,Maruti Esteem Lxi,120000,20000,Petrol,Manual,1st Owner,1396 cc,5 Seats,16
3112,Honda Amaze E,260000,80000,Petrol,Manual,4th Owner,2967 cc,5 Seats,7
3113,Mercedes-Benz C-Class C,2150000,37000,Diesel,Automatic,2nd Owner,1248 cc,5 Seats,8
3114,Maruti Alto LXi,161000,80000,Petrol,Manual,1st Owner,1197 cc,5 Seats,11
3115,Maruti Swift Ldi,200000,120000,Diesel,Manual,2nd Owner,796 cc,5 Seats,13
3116,Tata Indica eV2,0,90000,Diesel,Manual,2nd Owner,1991 cc,7 Seats,12
3117,Porsche Cayenne Diesel,5800000,50000,Diesel,Automatic,1st Owner,1499 cc,5 Seats,7
3118,Maruti Swift VDI,300000,80000,Diesel,Manual,2nd Owner,1396 cc,5 Seats,10
3119,Hyundai i20 1.2,200000,120000,Petrol,Manual,2nd Owner,2179 cc,5 Seats,12
3120,Maruti Omni MPI,250000,10000,Petrol,Manual,1st Owner,1997 cc,5 Seats,5
3121,Mercedes-Benz E-Class Exclusive,6700000,8900,Petrol,Automatic,1st Owner,1298 cc,5 Seats,2
3122,Ford Aspire Titanium,850000,15000,Diesel,Manual,1st Owner,1197 cc,7 Seats,2
3123,Hyundai i20 Active,450000,100000,Diesel,Manual,2nd Owner,796 cc,5 Seats,8
3124,Mahindra XUV500 W6,700000,70000,Diesel,Manual,2nd Owner,1950 cc,5 Seats,9
3125,Land Rover Range,0,19500,Petrol,Automatic,1st Owner,2609 cc,7 Seats,3
3126,Maruti Swift Dzire,300000,85000,Petrol,Manual,1st Owner,1248 cc,5 Seats,14
3127,Maruti Swift VXI,545000,43000,Petrol,Manual,1st Owner,1248 cc,5 Seats,4
3128,Maruti Alto LX,100000,70000,Petrol,Manual,1st Owner,4461 cc,8 Seats,13
3129,Mercedes-Benz C-Class Progressive,4250000,28000,Petrol,Automatic,1st Owner,796 cc,5 Seats,4
3130,Mahindra Scorpio 2.6,310000,90000,Diesel,Manual,2nd Owner,1199 cc,5 Seats,14
3131,Maruti Swift VDI,170000,128000,Diesel,Manual,4th Owner,2179 cc,5 Seats,15
3132,Maruti Vitara Brezza,695000,80000,Diesel,Manual,2nd Owner,1998 cc,5 Seats,6
3133,Toyota Land Cruiser,0,27000,Diesel,Automatic,1st Owner,1199 cc,4 Seats,4
3134,Maruti Alto 800,250000,50000,Petrol,Manual,2nd Owner,1198 cc,5 Seats,6
3135,Tata Tiago 1.2,454000,40000,Petrol,Manual,1st Owner,1120 cc,5 Seats,4
3136,Mahindra Scorpio 2.6,110000,80000,Diesel,Manual,1st Owner,1998 cc,5 Seats,17
3137,BMW X1 sDrive20i,4000000,10000,Petrol,Automatic,1st Owner,1493 cc,5 Seats,2
3138,Tata Altroz XM,700000,30000,Petrol,Manual,1st Owner,1248 cc,5 Seats,2
3139,Datsun GO A,270000,110000,Petrol,Manual,2nd Owner,796 cc,5 Seats,6
3140,Hyundai Xcent 1.1,290000,90000,Diesel,Manual,2nd Owner,2400 cc,5 Seats,9
3141,Mini 3 DOOR,3450000,40000,Petrol,Automatic,2nd Owner,1197 cc,7 Seats,6
3142,Hyundai Venue SX,950000,60000,Diesel,Manual,1st Owner,1197 cc,5 Seats,3
3143,Maruti Vitara Brezza,700000,80000,Diesel,Manual,3rd Owner,1197 cc,5 Seats,6
3144,Maruti Alto LXi,120000,110000,Petrol,Manual,2nd Owner,1999 cc,5 Seats,14
3145,Volvo XC60 D5,5450000,34000,Diesel,Automatic,1st Owner,1299 cc,5 Seats,4
3146,Maruti Swift Dzire,650000,35000,Petrol,Manual,1st Owner,998 cc,5 Seats,2
3147,Toyota Etios Cross,550000,60000,Petrol,Manual,1st Owner,1086 cc,5 Seats,4
3148,Hyundai Grand i10,400000,90000,Petrol,Manual,1st Owner,1086 cc,5 Seats,6
3149,Land Rover Discovery,4875000,38000,Diesel,Automatic,1st Owner,999 cc,5 Seats,3
3150,Ford Ikon 1.3,0,45000,Petrol,Manual,2nd Owner,998 cc,5 Seats,16
3152,Hyundai Santro Xing,105000,70000,Petrol,Manual,2nd Owner,2925 cc,5 Seats,13
3153,Hyundai i10 Sportz,180000,111408,Petrol,Manual,1st Owner,814 cc,5 Seats,12
3154,Ford Ecosport 1.0,313000,70000,Petrol,Manual,2nd Owner,796 cc,5 Seats,10
3155,Maruti Celerio VXI,204999,80000,Petrol,Manual,3rd Owner,999 cc,7 Seats,8
3156,Maruti Vitara Brezza,680000,80000,Diesel,Manual,1st Owner,1197 cc,5 Seats,6
3157,Mercedes-Benz S-Class S,0,1400,Diesel,Automatic,1st Owner,1493 cc,5 Seats,1
3158,Hyundai EON Magna,195000,60000,Petrol,Manual,2nd Owner,1462 cc,7 Seats,9
3159,Maruti Alto LXi,0,80000,Petrol,Manual,4th Owner,1196 cc,5 Seats,15
3160,Renault KWID Climber,300000,15000,Petrol,Automatic,1st Owner,1396 cc,5 Seats,4
3161,Hyundai Xcent 1.2,465000,90000,Petrol,Manual,1st Owner,2179 cc,5 Seats,4
3162,Hyundai Creta E,1085000,56040,Diesel,Manual,1st Owner,1086 cc,5 Seats,3
3163,Maruti Ertiga VXI,849000,69305,Petrol,Manual,1st Owner,1248 cc,7 Seats,2
3164,Ford Figo Petrol,235000,66974,Petrol,Manual,3rd Owner,1396 cc,5 Seats,9
3166,Mahindra Scorpio S11,1711000,40670,Diesel,Manual,1st Owner,2179 cc,5 Seats,2
3167,Hyundai Santro Magna,436000,17535,Petrol,Manual,1st Owner,1248 cc,5 Seats,3
3168,Maruti SX4 S,750000,80243,Diesel,Manual,2nd Owner,2982 cc,5 Seats,5
3169,Tata Indigo VX,202000,61549,Diesel,Manual,1st Owner,1198 cc,5 Seats,9
3170,Maruti Alto 800,170000,89345,Petrol,Manual,2nd Owner,1198 cc,5 Seats,9
3171,Mahindra Scorpio S9,1303000,95790,Diesel,Manual,1st Owner,1799 cc,8 Seats,4
3172,Maruti Swift VDI,425000,77173,Diesel,Manual,1st Owner,1198 cc,5 Seats,8
3174,Honda Brio VX,337000,46224,Petrol,Manual,1st Owner,2494 cc,5 Seats,8
3175,Nissan Micra Active,396000,23947,Petrol,Manual,1st Owner,1197 cc,5 Seats,6
3176,Honda Civic 1.8,180000,50546,Petrol,Manual,2nd Owner,1172 cc,5 Seats,15
3177,Honda Amaze S,320000,61229,Petrol,Manual,1st Owner,999 cc,5 Seats,8
3178,Hyundai i10 Magna,176000,85122,Lpg,Manual,3rd Owner,1120 cc,5 Seats,12
3179,Toyota Innova 2.5,718000,46286,Diesel,Manual,1st Owner,814 cc,5 Seats,9
3180,Maruti Baleno Sigma,587000,8110,Petrol,Manual,1st Owner,1086 cc,5 Seats,3
3181,Fiat Grande Punto,218000,64712,Petrol,Manual,2nd Owner,998 cc,5 Seats,8
3182,Renault KWID Climber,297000,52698,Petrol,Automatic,1st Owner,799 cc,5 Seats,6
3183,Hyundai Grand i10,290000,120797,Diesel,Manual,2nd Owner,1462 cc,5 Seats,7
3184,Hyundai EON Era,268000,39109,Petrol,Manual,1st Owner,796 cc,7 Seats,6
3185,Hyundai i10 Era,149000,21046,Petrol,Manual,1st Owner,1364 cc,5 Seats,14
3186,Maruti Wagon R,263000,34794,Petrol,Manual,1st Owner,1498 cc,5 Seats,9
3187,Renault KWID RXT,305000,33614,Petrol,Manual,1st Owner,2179 cc,7 Seats,5
3188,Maruti Ciaz Zeta,950000,9630,Petrol,Manual,1st Owner,1248 cc,5 Seats,1
3189,Maruti Alto LXi,110000,72153,Petrol,Manual,3rd Owner,1956 cc,5 Seats,12
3190,Toyota Platinum Etios,565000,78172,Diesel,Manual,1st Owner,1462 cc,5 Seats,4
3191,Honda City i-DTEC,792000,64313,Diesel,Manual,1st Owner,1364 cc,5 Seats,5
3192,Mahindra XUV500 W11,1562000,74787,Diesel,Manual,1st Owner,1248 cc,5 Seats,3
3193,Maruti Swift Dzire,671000,92045,Diesel,Manual,1st Owner,998 cc,5 Seats,4
3194,Jeep Compass 2.0,1203000,48259,Diesel,Manual,3rd Owner,814 cc,4 Seats,5
3195,Maruti Ertiga VXI,741000,21197,Petrol,Manual,1st Owner,1497 cc,7 Seats,4
3196,Toyota Etios VD,340000,13814,Diesel,Manual,1st Owner,1451 cc,5 Seats,11
3197,Maruti Baleno 1.3,454000,85890,Diesel,Manual,1st Owner,624 cc,5 Seats,8
3198,Maruti Wagon R,133000,101935,Petrol,Manual,1st Owner,999 cc,5 Seats,13
3199,Hyundai EON Era,283000,26012,Petrol,Manual,1st Owner,1497 cc,7 Seats,5
3200,Honda City V,313000,117699,Petrol,Manual,2nd Owner,1197 cc,7 Seats,11
3201,MG Hector Hybrid,1807000,31437,Petrol,Manual,2nd Owner,999 cc,7 Seats,2
3202,Tata Nano Twist,144000,14458,Petrol,Automatic,1st Owner,2494 cc,5 Seats,8
3203,Renault Triber RXL,501999,55744,Petrol,Manual,1st Owner,2179 cc,5 Seats,4
3204,Honda City i,545000,10411,Petrol,Manual,1st Owner,1198 cc,5 Seats,8
3205,Maruti Swift Dzire,611000,43627,Petrol,Manual,1st Owner,1197 cc,7 Seats,4
3206,Renault KWID 1.0,235000,31306,Petrol,Automatic,1st Owner,1995 cc,5 Seats,6
3208,Mahindra XUV500 W7,1235000,55209,Diesel,Automatic,1st Owner,1462 cc,5 Seats,5
3209,Datsun GO Plus,304000,18732,Petrol,Manual,1st Owner,1198 cc,5 Seats,6
3210,Hyundai Grand i10,741000,30273,Cng,Manual,1st Owner,1197 cc,5 Seats,2
3211,BMW X4 M,5650000,29000,Diesel,Automatic,1st Owner,1591 cc,5 Seats,4
3212,Hyundai Grand i10,462000,47841,Petrol,Manual,1st Owner,1248 cc,5 Seats,5
3213,Maruti Ertiga VXI,849000,3707,Petrol,Manual,1st Owner,999 cc,5 Seats,3
3214,Honda Amaze S,379000,104596,Petrol,Manual,1st Owner,1248 cc,7 Seats,7
3215,Hyundai i10 Sportz,263000,60162,Petrol,Manual,1st Owner,799 cc,5 Seats,10
3216,Hyundai Creta 1.6,780000,72434,Petrol,Manual,1st Owner,998 cc,5 Seats,8
3217,Maruti Swift VDI,270000,96906,Diesel,Manual,3rd Owner,2755 cc,5 Seats,11
3218,Renault KWID 1.0,445000,4603,Petrol,Automatic,1st Owner,1497 cc,5 Seats,3
3219,Maruti Swift VDI,370000,63740,Diesel,Manual,2nd Owner,1396 cc,5 Seats,9
3220,Renault KWID RXT,249000,53827,Petrol,Manual,1st Owner,1197 cc,5 Seats,7
3221,Kia Sonet HTX,1036999,13997,Petrol,Manual,1st Owner,1299 cc,7 Seats,2
3222,Toyota Fortuner 2.8,1980000,120949,Diesel,Manual,2nd Owner,1248 cc,5 Seats,6
3223,Honda City i,644000,42189,Petrol,Manual,1st Owner,1086 cc,5 Seats,6
3224,Hyundai i20 1.4,283000,34341,Diesel,Manual,1st Owner,1493 cc,6 Seats,11
3225,Hyundai Grand i10,659000,18881,Petrol,Manual,1st Owner,993 cc,5 Seats,3
3226,Ford Ikon 1.3,0,127335,Petrol,Manual,2nd Owner,1248 cc,5 Seats,14
3227,Maruti Vitara Brezza,750000,26201,Diesel,Manual,1st Owner,1462 cc,7 Seats,4
3228,Hyundai i10 Sportz,248000,107263,Petrol,Manual,1st Owner,998 cc,5 Seats,9
3229,Mahindra Bolero Power,613000,58245,Diesel,Manual,1st Owner,1499 cc,7 Seats,6
3230,Maruti Zen LXI,0,142740,Petrol,Manual,2nd Owner,2755 cc,5 Seats,17
3231,Maruti Swift VDI,425000,51755,Diesel,Manual,1st Owner,1193 cc,7 Seats,8
3232,Maruti XL6 Zeta,953999,84284,Petrol,Manual,1st Owner,2179 cc,5 Seats,3
3233,Maruti Wagon R,276000,94087,Petrol,Manual,1st Owner,998 cc,5 Seats,8
3234,Ford Fiesta Petrol,278000,56292,Petrol,Manual,1st Owner,2393 cc,5 Seats,12
3235,Toyota Fortuner 2.8,2932000,91604,Diesel,Manual,2nd Owner,2179 cc,5 Seats,3
3236,Tata Zest Revotron,266000,56290,Petrol,Manual,1st Owner,1248 cc,5 Seats,8
3237,Mahindra XUV500 W8,601000,41086,Diesel,Manual,4th Owner,1364 cc,7 Seats,8
3238,Maruti Alto K10,260000,38137,Petrol,Manual,1st Owner,1197 cc,5 Seats,7
3239,Toyota Innova Crysta,2216000,11724,Diesel,Automatic,1st Owner,1120 cc,5 Seats,1
3240,Tata Safari Storme,529000,111023,Diesel,Manual,4th Owner,2198 cc,5 Seats,7
3241,Chevrolet Sail Hatchback,254000,63936,Diesel,Manual,1st Owner,1461 cc,5 Seats,10
3243,Hyundai i20 1.2,563000,21292,Petrol,Manual,1st Owner,1396 cc,5 Seats,6
3244,Hyundai Grand i10,348000,99561,Diesel,Manual,1st Owner,1193 cc,5 Seats,7
3245,Ford Endeavour 2.2,1338000,103066,Diesel,Automatic,2nd Owner,998 cc,5 Seats,7
3246,Renault Duster 110PS,362000,102141,Diesel,Manual,2nd Owner,1498 cc,5 Seats,9
3247,Ford Ecosport 1.5,635000,49320,Petrol,Manual,1st Owner,796 cc,5 Seats,6
3248,Tata Indigo LX,172000,43239,Diesel,Manual,1st Owner,1497 cc,5 Seats,8
3249,Tata Indigo Emax,247000,112051,Cng,Manual,1st Owner,1199 cc,5 Seats,6
3250,Maruti Celerio ZXI,346000,7999,Petrol,Automatic,2nd Owner,5461 cc,4 Seats,6
3251,Ford Ecosport 1.5,381000,86269,Diesel,Manual,1st Owner,1197 cc,5 Seats,10
3252,Maruti Alto LXi,120000,15166,Petrol,Manual,1st Owner,3996 cc,5 Seats,13
3253,Tata Tigor EV,631000,25882,Electric,Automatic,1st Owner,1582 cc,5 Seats,4
3254,Honda City 1.5,269000,57209,Petrol,Automatic,1st Owner,1950 cc,5 Seats,14
3255,Volkswagen CrossPolo 1.2,338000,94848,Diesel,Manual,3rd Owner,1061 cc,5 Seats,10
3256,Mercedes-Benz G G63,0,47000,Petrol,Automatic,2nd Owner,1950 cc,5 Seats,6
3257,Hyundai Xcent 1.2,479000,9669,Petrol,Manual,1st Owner,1956 cc,5 Seats,5
3258,Porsche Panamera GTS,0,10000,Petrol,Automatic,1st Owner,1061 cc,5 Seats,4
3259,Hyundai Verna 1.6,411000,111246,Diesel,Manual,3rd Owner,1991 cc,5 Seats,9
3260,Mercedes-Benz E-Class Exclusive,4400000,44000,Diesel,Automatic,1st Owner,1396 cc,7 Seats,6
3261,Maruti Wagon R,143000,55118,Petrol,Manual,1st Owner,1197 cc,5 Seats,13
3262,Mercedes-Benz E-Class Exclusive,4350000,39000,Diesel,Automatic,1st Owner,2393 cc,5 Seats,6
3263,Tata Harrier XT,1191000,128924,Diesel,Manual,1st Owner,1197 cc,5 Seats,2
3264,Maruti Wagon R,106000,55842,Petrol,Manual,1st Owner,998 cc,5 Seats,13
3265,Mercedes-Benz GLC 200,5650000,32000,Petrol,Automatic,1st Owner,1582 cc,5 Seats,3
3266,Hyundai i20 1.4,285000,96732,Diesel,Manual,1st Owner,1493 cc,5 Seats,11
3267,Hyundai Grand i10,333000,38370,Petrol,Manual,1st Owner,1248 cc,5 Seats,9
3268,Toyota Innova Crysta,906000,126401,Diesel,Manual,2nd Owner,998 cc,5 Seats,6
3269,Hyundai i20 Active,513999,44357,Petrol,Manual,2nd Owner,1197 cc,7 Seats,6
